Username,Comment
Lumena Tune,OBAT CORONA UDAH DATANG DAN DI DISTRI BUSIKAN BELUM SIH DI INDONESIA???
Satria Bontet,"penyakit orang kaya yg senang berpergian,dan imbasnya lagi2 ke orang miskin...."
Norman jasper,Di manado sanitizer dan masker kosong smua....pemerintah tolong lah kaum yg miskin dibagi lah buat perlindungan diri kami..kami yg miskin juga manusia dan layak untuk sehat dan hidup!
Risna Ramlan,"Astaghfirullah,,,,Udah 514 ajah"
HARE KRISHNA HARE KRISHNA,Apakah kita tidak bisa introspeksi diri? Kenapa harus saling menyalahkan satu sama lain. Hare krishna hare krishna Krishna krishna hare hareHare rama hare rama 
Asmaji Kurdianto,"sya yakin esok hri bs menembus angka 1000 yg terinfeksi, krn org indo itu bandel''"
Arfiyan Kun,Emang banyak sih kaula muda yang masih ngopa ngopi nongki sana sini padahal udah diimbau buat ngelakuin social distancing. Mungkin mereka mikir fisik mereka kuat jadi Corona ga bakal bahaya buat mereka tapi mereka ga mikir dampaknya buat orang lain jikalau mereka jadi carrier virus ini.
maryam atutu,Buat pemerintah bagi sembako dong biar suami bs tinggal dirumah gak keluar cari duit.Orang kaya sm pegawai sih enak tinggal dirumah berapa lama pun santai aja.Trus giamana nasibnya kalo yg kerjaannya cuman ngojek doang? Kadang dapet kadang gak.Kira² gimana coba
mrs. vanvollen,Masih berpikir : gak kerja g ada duit pak kantor belum kasih kebijakan.. Dan bla bla bla
Surya Ardy,"Menanjak gaes me 514.. 1000 Baru sadar harus lockdown Dan sudah terlambat Dan sudah kemana"" haha ujung"" nya mati ITU di tangan Tuhan."
hendry Sam,"Mmg obatmya belum datang, kok msh bnyak yg meninggal"
Adhi Suryana,Semangat Indonesia. Aku yakin siapapun negara yg paling cepat membasmi Corona ini akan jadi kekuatan ekonomi terbaik di 2020!
Noldi Yusuf,Gimana mau gotong royong yg lain semangat lainnya gak ad semangat
Djoko Sasono,"Knp kok terus bertambah, apakah blm Ada cara utk pengendaliannya, dulu Kita santai santai, Dan persebarannya kok diberbagai tempat, cb tiru Taiwan tnp lockdown berhasil mengendalikan"
Adi Sasmita,"Panik itu perlu, nantinya akan bosan panik"
Chandra Kristiawan,"Penanganan kurang maximal... Katanya tidak akan lolos dari pantauan alat kita,,, alat kesehatan kita modern dan canggih...Indo no SATU angka kematian terbanyak seasia... Parah..."
Momon kyunn,Warga indonesia klo ada yg pingsan di duga corona bukannya di jauhin malah di dekatin buat foto2...
FUCK TRUMP,"perbedaan china ama indonesia, indonesia lebih banyak bacot nya daripada kerja nya, semua pakar di undang buat debat2 gak ada manfaat nya, beda ama china irit bicara kuat kerja nya, semua bahu membahu masalah cepat selesai"
Michel&felix,Corona virus ngak akan bertahan karna made in china
Smiley,Apa yang terjadi jika Covid-19 hilang dimuka bumi ?
Sigit Febrianto,"kenapa di indonesia angka kematian tinggi?karena orang indonesia itu ndableg,kalau kena yg dsalahkan pemerintah,kalau enggak kena dia sombong sok kuat.pola hidup sehat nya yg buruk akan sangat brpengaruh pada angka survive nya orang yg trjangkiti."
Wahid Purnomo,"Enggak kerja kami enggak makan lurrr, klo enggak kluar rumah trus untuk makan kita mau makan apa, sedangkan kita harus kerja dulu baru dapat uang & baru bisa beli beras. Untuk orang miskin isolasi diri sendiri itu sulit lurrr"
njeplok,"Saya sekeluarga yang biasanya 1 bulan sekali mudik ke desa untuk sowan ortu, terpaksa kemaren nelpon ortu minta maaf karena bulan ini nggak bisa sowan (karena di kota tinggal saya sudah ada beberapa yang positif covid 19) dan khawatir kalau nekat mudik malah mendapat stigma negatif dari tetangga2 di desa."
Gunawan Wibisono,"Nah nich fatality ratenya bisa dibilang ""MEROKET""...."
Rakhauk Gibran,Iya isolasi diri itu berlaku buat yg punya duit pak saya seharian dagang buat makan tiap hari meski sepi tapi klo gak dagang dan isolasi diri saya dan kluarga gak bisa makan
Speaking The Truth,"Kantor teman saya dia cerita di kalimantan selatan hebat lo sudah ada 1 pasien corona tapi kantor masih buka  trus absen sidik jari jalan terus dong tanpa disediakan hand sanitizer dsb........Samping kantor nya kolam renang yang dikelola dinas pemuda olahraga yang juga dijadikan fasilitas umum masih mereka  buka dan masih sangat ramai pengunjung untuk berenang, ya kurang lebih perhari ada 500 orang  pengunjung lah buat berenang , gedung futsal juga dikelola dinas pemuda olahraga provinsi "
Ega Widi Pinasti,Saya mau bertanya bagaimana nasib pekerja harian yang harus mencari uang untuk sesuap nasi setiap harinyaBagaimana pikiran pemerintah untuk masyarakat miskin dan orang2 yang tinggal dikontrakan yang hanya mempunyai uang pas2an bahkan tidak mempunyai uang jika tidak bekerjaUntuk pemerintah pikirkanlah masyarakat miskin .bagaimana nasib mereka jika hanya di rumah dan tidak bekerja .apakah ada sumbangan dari pemerintah ?
ziio Bintang,yg gw bingung ini orang dapat data dari mana ya
Vlog BBMA,"masih banyak warga yang belum sadar bahaya corona karna yg tewas baru 48, coba udah 4k pasti baru sadar dan saling doakan... sekarang aja ketawa ketiwi gak takut corona, nanti pas kena nyalahin orang lain dah, brengsek emanng orang kek gitu"
Xiomi Hebat,Lebih Banyak Yang Meninggal dari pada yang Sembuh. Itu Artinya.....? 🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐
Jecky ibrahimovic,"Coba dong jelaskan yg menigal itu di cantumkan alamat lengkap nya jgn cuma,,jumlah total saja,,,,tiap hari masuk tv cuma hitung jumlah,, ,"
Rey Melda,Semoga orang2 yg membeli masker & Sanitizer berlebihan tanpa memikirkan org lain demi kepentingan dirinya sendiri cepat sadar dan malu akan perbuatannya.
Jefri Romi,"knp hrs dirahasiakan org yg sdh terinfeksi,bukanya lbh baik dipublikasi aja agar spy org2 yg pernah kontak langsung dgn dia bisa langsung periksa,kl tunggu pemerintah yg akan pantau org2 yg kontak dgn sih pasien,bisa2 org2 tersebut sdh terinfeksi & mgkn sdh menularkan ke org lain,krn dia ga tau kl dia pernah kontak dgn org yg positif."
Amy Muslikhah,"Yang saya lihat disini didaerah saya,mereka menggunakan bpjs untuk periksa dipuskesamas.namun yang saya lihat jika belum parah mereka yang sakit tidak dicek apapun hanya dikasih obat...entah kenapa kalo pake bpjs dari pemerintah pelayanannya kurang,padal pasti para pasien juga takut jika terjadi sesuatu sekalipun tidak meminta akan trjadi sesuatu...saya juga ikut suatu PT saya ikut bpjs namun pelayanannya pun kurang,tidak bisa digunakan priksa di rs kecuali opname,padal saya juga membayar iuaran...yang ditakutkan disini yang tidak dicek ternyata positif dan takutnya menyebarkan😢 mohon pelayanannya diperbaiki😢maaf hanya sekedar info😢"
Master Spiritual,"Dalam Pandangan Spiritual Virus Corona adalah Makhluk yg sangat mengerikan yg tak kasat mata..virus corona memang diciptakan untuk membunuh manusia dan di sebarkan melalui udara dan menyebar di seluruh dunia...akan banyak kematian yg akan terjadi Krn virus Corona dlm pandangan spiritual...tulislah kode ini 55 76 392 dengan spidol permanen  ditubuh anda...itu adalah kode dari Spiritual Alam Semesta.. insyaallah akan selamat dr virus Corona dan virus Corona akan mengabaikan anda Krn kode itu ditubuh anda,bagi yg sdh terkena virus Corona akan berangsur sembuh dr virus corona...ini bkn hoax tp adalah ranah spiritual(Ma'rifat) yg memang diteliti dan sesuai kenyataan/fakta nya... berhati 2 lah virus Corona sangat sulit dideteksi gejalanya Krn virus itu disebarkan melalui udara ..smga kita terhidar dan selamat dari virus Corona.Amin...(dari Group Spiritual Hening/wusul)"
Syarif Hidayatullah,Klau sudah kayak gini cebong lucknut yg sudah membully pak Anis pasti pada ngumpet.
Imsonion,dalam beberapa minggu kita udah ngalahin singapur dalam total terjangkit
kurnianto galih,Jangan hutung yang terinfeksi tapi bandingkan yang meninggal dan yang sembuh. Seberapa gagapnya dan terlihat nubras nubras. Akibat sok pd diawal. Istifar astaghfirullah hal adzimmi!!!.
Kichigai Schizophrenia,BOSEN GUEPENGEN YANG UMUMIN MENTERI KESEHATAN
Muhammad Sofyan,"Kon melu pemerintah ae angel eram wong""an gatel i ancene"
FirstBlood Gaming,Kenapa jakarta ga di lockdown sementara biar bisa dicegah 🤔
solichin channel,"Berkomentarlah yang baik jika kalian orang indonesia,janganlah saling menyalahkan,berdo'a lah untuk nkri tercinta agar virus ini cepat berlalu,patuhi intruksi pemerintah,agar virus ini tidak menyebar kemana-mana.contoh negara taiwan."
ini hansip,"Trus kalo ketularan di tempat umum lain gimana? Kyk tempat ibadah, tempat hiburan, dsb gimana?"
Bambang Tondo Suroso,"Kenapa diindonesia tertinggi karena banyak muslim yang so.Takut sama Allah berlindung dimasjid ,shalat tetap berjama'ah di masjid . Dihimbau isolasi diri malah dibilang berlebihan tunggu saja nanti baru myaho sia."
Morning Cafe,Virus saja patuh pada Sang Pencipta.. Kenapa kita manusia tidak patuh pada pemimpin? Padahal pemimpin ada karena ridlo ilahi berhendak.. Saya dan adik saya kerja di Jakarta & Bogor saja yg jelas2 WFH sampai akhir April benar2 tidak berani pulang ke kampung halaman.. Padahal sudah kangen sekali dg ortu.. Demi melindungi ortu kami sendiri yg memang sudah lanjut usia.. TT ya Tuhan ampuni hambamu ini..
Uus Hasan,Jakarta kalsu telat pencegahan nya maka akan trjadi wabah virus seperti di wuhan
Stelum Vict,Masih bertambah baik penderita dan meninggal setiap hari... Berarti kebanyakan masyarakat belum sadar dan pemerintah belum mampu mengatasi korona... Sampai kapan ini terjadi pemerintah??? Masyarakat dan pemerintah Indonesia cocok....sama2 SANTUY....
basaudan,Peran pemerintah sangat vital.
an rita,TOLONG TEMPAT2 LES ANAK2 SEKOLAH JUGA DITUTUP. BEBERAPA MASIH BUKA DAN ANAK2 KELUAR JUGA GURU2 LES SELAIN NGAJAR ONLINE KUGA DATANG KE TEMPAT LES. DAN BEBERAPA KEWALAHAN DAN MALAH OVERWORK. TERUTAMA AREA KAPUK
Belanja murah yuk,Buruknya penanganan.. Padahal negeri ini belakangan kena virus... Harusnya sdh siap... Dan gak banyak yg sampai jadi korban meninggall...
Fahmi Dion,Ini kalau g ada gejala ini ko bisa kena virus sih
Dhez Soulmate,ya allah makin byk yg meninggal :(
Ratman Ratman,"Indonesia bangkrut ;rupiah terjungkal dollar tembus 16 rb bahkan diprediksi sampai 20 rb, bursa saham rontok, hutang semangkin menggunung yg jatuh tempo, investor kabur, virus corona semagkin merajalela korban berjatuhan pemerintah pusat kalau lambat mengatasi virus korona , korupsi semangkin menjadi kpk tumpul....oh inikah Indonesiaku...menteri perhubungan bilang tidak akan kena virus corona karena banyak makan nasi kucing, dmn dia sekarng mungkit maut lg mengintainya....ha ha ha"
adriyan syahputra,"Jangan takut sama corona! Ingat, kita alumni kiamat 2012"
Nier Automata,Wadu angka kematian kasus korona didunia tertinggi salah satunya Indonesia ayo kawan dirumah aja untuk yg berada di zona merah
Firman Permana,"trus kita mengisolasi diri tanpa perawatan, nunggu ajal????"
A. Zakaria Amien,lebih banyak yang meninggal menandakan bahwa kualitas pelayanan kesehatan dan kesadaran masyarakat tentang kesehatan jauh lebih rendah dari negara tetangga dan negara lainnya
poros ummat,Keajaiban obat virus ini ada pada Al-Qur'an. jadi mari kita perbanyak sebanyak2 mungkin membaca Alquran. InsyaAllah Allah(RajaSeluruhJagatRaya) berkenan memberi keajaibannya tuk menangkal virus ini dngn Qur'an.
Muh Rid,"Beuh udah 500 an terinfeksi,, cpt nya"
kompass kita,"Tokoh agama dari berbagai ormas,.baik nu, muhammadiyah, persis, ldii, dll bisa mengkomunikasikan lagi kepada umat untuk bisa sholat di rumah. Sedangkan sudah di ketahui bahwa orang yg biasa berjamaah ke masjid, namun karena uzur syar'i contohnya spt saat ini, maka pahalanya tetap dihitung sebagai pahala orang berjamaah meskipun dia sholat di rumah."
Jiha June,"Yatuhan,  makin banyak aja yg meninggal 😭😭Sedih,  kapan ini berakhir 😭😭Kenapa tahun 2020 hidupku rasanya gapernah tenang 😭😭😭"
Apeye Peye,Udah ga usah lockdown segala... ntar juga hilang tuh virus... nunggu waktu aja.. yg penting cegah dan sembuhin...
Hery Astro Kendaly Putih,Asslkm Wbrkth. Jangan kita tinggalkan sholat berjamaah 5 waktu tepat waktu. Doanya orang berjamaah lbh baik dari pada sendiri. Berdoalah kepada ALLAH SWT smg segala virus yg membawa penyakit segera diangkat.
Fauzi Jaguar,Tolong pak disini banyak pengusaha ayam yang tidak SOP saya takut terkena virus. Daerah saya kalimantan timur desa kerta bahakti kec. Long ikis kab.paser.dinas kesahatan tidak peduli dan masyarakt jg tidak peduli
fita nirmala,Siapa yg masih masuk kerja di PT
Agungpurnama Agungpurnama,Masih bisa bilang orang Indonesia kuat??
Ryo Tanada,"sekarang udah kedua paling terinfeksi se-asia tenggara, dan death rate tertinggi se-asia, semoga bisa segera diselesaikan masalah ini"
Faizah Asriq,Jangan  takut  korona
ino johantoro,"SADAR DIRI MAMEN BIJAKLAH DALAM MELAKUKAN SESUATU PERHATIKAN SITUASI DAN KONDISI , INGATLAH SEHAT AKAN LEBIH MURAH BIAYA MENJAGANYA DARI PADA SAAT SEHAT SUDAH MENJAHUI KITA BIAYANYA BISA BIKIN KLENGER"
Fajar Acill,Rasanyah ingin pulkam tapi takut pake angkutan umum malah bawa penyakit 😩😩
achmad zain,"Mohon pemerintah agar menyediakan alat lab yg memadai di masing2 ibukota propinsi, jd pasien yg terjangkit tidak harus menunggu lama untuk hasil labnya. Karena mereka harus mengirim ke pusat dulu dan menunggu hasilnya makan waktu 5-14 hari. Seperti kasus yg terjadi Di Makassar, pasiennya sudah meninggal baru hasil labnya diterima dari pusat klo almarhumah positive terjangkit corona. Tolong perhatian dari Pemerintah"
Arok Lawe,Disini pemerintah baru merasakan betapa dahsyatnya makhluk kecil yg terlihat oleh mata yg diciptakan Allah Yang Maha Kuasa dan Yang Maha berkehendak. Ketika virus itu masih menyerang Wuhan dan Cina.  Negri ini malah dengan bangganya memperbolehkan masuk TKA/ atau lazimnya yg disebut wisatawan 3 bulanan untuk masuk ke Negri yg belum berpandemik corona ini.  Kini telat sudah segala upaya yg dilakukan karna virus ini sudah mulai ada disekitar kita. Hanya satu yg dapat menghindari virus itu tidak sampai ke kita dan merenggut kita dan keluarga kita.  Hanya Allahlah Yang Maha Esa yg membuatnya... Jadi mintalah pada Allah Yang Maha Kuat... Allah Yang Maha Menyembuhkan agar kita semua terhindar dan disembuhkan dari virus ini.  Perbanyaklah beristighfar... Mohon ampunlah apa yg selama ini kita lakukan.. Apakah kita menduakannya ataukah kita lupa akan ALLAH.
Wonnel Zoldilock,"Hari ini sja malaysia turunkan Askar sebab orang tidak takut sama polisTidak perlu lockdown jika rakyat dengar cakap, tapi klau keras kepala terpaksa guna lockdown untuk sekat penyakit"
catur utomo,apa hanya di Indonesia yg persentase KO-nya lebih banyak drpd survive-nya?
Aeniii sipembasipelakor,Gua mah mau ikut comen dah  toko gua sepi banget   pengeluaran  tidak seimbang karna bahan bahan pokok jadi naik  anak anak kasian ga pada masuk sekolah jajan terus terusan   sumpah emak emak menjerit tapi untung nya gua sellau berdoa sama  maha pencipta  moga corona cepet berlalu
Joni Bambang,Untung gua tinggal di kampung Jadi aman dari virus
AL COM,"Kalau dari awal diperketat orang luar masuk keindonesia, nggak bakalan kayak gini kali kita, ini malah undang orang luar agar pariwisatanya keindonesia, luar biasa pak wiwi, ekonomi orang atas dipikirinnya, orang bawah disuruh dia stay dirumah, emang siwiwi mau kasih makan kami, biar kami stay dirumah"
Warna Warni,Lockdown??? TIDAK MUNGKIN.pemerintah: (50 jiwa positif) jangan panik.Pemerintah: (100 jiwa positif) jangan panikPemerintah: (200 jiwa positif) jangan panik
cheng aini,"ya alllah mkn byk sj yg sakit 😭smoga cepat hilang virus yg sgt ngri ini. indonesia harus bisa, kita sm2 berjuwang. smoga cepat berlalu virus ini. amin"
Kir-Tech,Laporan dari 14 provinsi lainnya mana?
Hasan Maulana,"pak, warga jakarta sudah banyak yang pulang kampung itu gmn ??"
Ratu Rj,Semua bandara di seluruh indonesia harus di tutup buat orang luar negeri masuk ke indonesia..semenjak wabah virus corona banyak turis masuk ke Indonesia itu lah akibat nya pemerintah lamban dalam menutup bandara buat turis masuk ke indonesia
Rudi Axiong,"semua yang ke pasar n super market belanja dan tempat2 ramai di haruskan pakai masker n yg gak ada kepentingan jgn keluar rumah, petugas tetap harus jaga2 di lapangan biar semua org taati peraturan nya, harus ada tindakkan terus jgn sekedar himbauan aja."
fenny tjandra,"bingung yah cara berfikirnya, kok bisa udah di rencanakan kalo banyak kasus berat baru yang di taro di rumah sakit, dan pemerintah menerapkan kalo untuk isolasi dirumah yg positive dari mulai kasus di positive 150 org sebenarnya yg terpenting jangan sampe banyak, makanya kalo memang masih dikit sebisanya semuuuuaaaaaaaaaa dikarantina mau PDP, positive harus di karantina kalo masih dikit jangan sampe nyebar... bayangin dulu di italia kasus pertama 31 jan 2020, hari ke20 : 21 kasus positive 1 meninggal dunia, hari ke 50 : 47.021 kasus positive dan meninggal 4.032. Indonesia kasus pertama : 1 Maret 2020, hari ke 20 : 450 kasus positive, 38 meninggal dunia, hari ke 50? ga ada lock down daerah epicenter : Jakarta, bisa nyebar kemana2, kl daerah banyak juga gmn pak?"
inner voice,Jakarta lockdown sajah pak
sherly agus,adanya ODP dan PDP bukti pemerintah tidak becus..
N Effandiansyah,"Solusinya apa pak boss biar minimalisir agar tdk byk yg mninggal? Klo kita drmh trus iy solusi umum. Tp bagi yg sdh terkena ? Dokter2 positif corona yg ahli saja bs meninggal,  apalagi bagi org miskin. Dmnkah titik kurang dlm sistem diindonesia ini. Malaysia total kasus ribuan tp yg meningal bs ditahan hanya 9org."
Harwin Hutahayan,Tolong pemerintah. Perhatikan buat warga yang tida punya tempat tinggal diperkatikan. Kepolisian dan Pol PP atau bahkan TNI bisa membantu berpatroli khususnya mengawasi anak2 yang masih berkeliaran di tempat umum dan ngumpul2..
Setira Angler,Sya udh 5 gari flu batuk mau priksa ke dokter tp bingung mau ke rumah sakit mana yg melayani gejala covid 19..
Rendi Mustaditama,"Perasaan saya virus ini kayak momok yang menakutkan menghantui setiap masyarakat dan menjadikan masyarakat merasa panik dan kalang kabut alhasil cari masker,cari anti septik,cari empon2 ,memborong bahan baku makanan dll...kalau menurut saya hadapi dengan tenang jangan panik, makan yang banyak terutama sayur sayuran, minum air putih yang cukup, olahraga rutin berjemur 5-10 menit dari jam 8-10 insyallah sehat 💪💪💪💪"
Jito Ito,Jawa timur jagan boleh ke jawa tengah begutu sebaliknya jawa barat vs jawa tengah sebaliknya jawa timur jawa barat begitu sebaliknya karena itu benyeberan antar provinsi paling cepat begitu juga jgn ad yg boleh pindah2 kota contoh sby jgn boleh masuk ke sidoarjo begtu sebaliknya kemungkinan lbh fokus penangananya saran saja sih pak demi smua rakyat indonesia
Tri S,"Mobilitas tinggi di kota jakarta sulit dihentikan, mempercepat persebaran"
Yulia Safitri,"Tetap dirumah..sayangi nyawamu... Bertahanlah sementara waktu dirumah mengisolasi diri.. Jgn takut kelaparan bagi yg miskin, ada banyak cara bagi tuhan memberi rejeki untuk hamba nya.."
nevi pratiwi,gua sebel.. td gua kepaksa ke pasar karena bahan makanan abis.. gua ke pasar menghindar dr toko2 yg rame.. kl beli sayur beli ditempat yg blm ada pembelinya.. gua udh smp segitunya ati2.. eee ada bapak2 yg lagi parkir nunggu istrinya belanja kali batuk2 gak ditutupi yg paling parah dia meludah sembarangan.. pdhl disitu kanan kirinya ada org.. jarak gua jauh lebih dr satu meter aja gua jengkel.. tp org2 yg disampingnya santuy bngt kaya gak ada ap2.. apa mngkin mereka sungkan mau negur.. tp untuk masa2 spt ini hrs wajib negur kanan kirinya.. gua yg dr jauh aja gemes bngt pengen negur tp gua gak dibolehin sama suami gua takutnya ribut.. huh.. masyarakat kurang pengetahuan kayanya.. mudah2 an cpt musnah virus ini biar gua isa pulang kampung..
Rdn SH,"Gua kadang bingung sama kadrun..Pas corona belum sampai indonesia bilang.., ini azab buat rakyat china.. "
Adi Putra,Kalau sudah begini..masih mau di buat lawakan lucu lucuan ???? Mikiiirrrr !!!
Syari Fudin,Klw bisa pihak pemerintah...D usahak untuk TKI atau TKW yg mw.pulang k Indonesia harus d karang Tina bener2..Karena penyebaran tu yg utama dr TKI atau TKW yg baru pulang dr luar negri.Dan juga stop orang asing.masuk Indonesia.
Asnawi Asnawi,"Betul sekali Pak...Kita harus mengikuti teori Probabilitas...semakin sedikit kerumunan....maka peluang penulularanya semakin sedikit,jika masa inkubasi 14 hari..maka lebih mudah memetakan dan lebih mudah penangananya...Mari kita sadar diri untuk tinggal di rumah,memutus mata rantai penyebaran. dan Semoga bisa teratasi"
Boim Saputra,TOYOTA CORONA
Rinto Libiyanto,Buat teman-teman bantulah pemerintah dengan stay dirumah tapi jika ada kegiatan penting boleh lah keluar dengan masker dan alat pencegahan lainnya. Partisipasi kalian mendapatkan efek bagi indonesia di kemudian hari. Semoga masalah ini cepat berkahir.
Aqir Zaa,kpn kena lngsung bnyak ... Y allah
Yulianto Hari Adi Putra,"Klo mau bikin aturan di Indonesia harus dilihat dr sudut pandang orang miskin, menegah dan terakhir orang kaya. Utamakan orang miskin dulu gimana dampaknya, nah klo udah baru masyarakat menengah baru orang kaya. Kebanyakan kesalahan pejabat mah lihat dr sisi mereka aja yg udah punya gaji bulanan 20 -30 juta. Klo orang miskin hariaan pun ndak sampai 50rb. Klo mau lockdown alangkah baiknya liat dari sisi paling bawah dulu."
HI AGUS,Waduh 48
Tifo Sanjaya,Aduh sulit pak.. terlebih masyarakat pedesaan.. seandainya pemerintah ketika   ada isu virus corona d daerah asia tenggara pemerintah mulai antisipasi dengan cara di tes sebelum mo masuk k indonesia dan ketika hasil tes corona ini masih belum kluar maka d siapkan ruang karantina husus dan apabila dy steril boleh berangkat oleh pemerintah indonesia yg ada di luar negri.. isolasi diri tp kita tetep kerja bersosial dengan yg lain.. saya seorang seniman pak gk kerja gk punya duit tp saya juga harus ekstra mawas diri serta tetep berusaha se baik mungkin atas pelayanan pada customer yg menggunakan jasa saya
petrus chanel,"Bisa tolong dibuatkan info untuk bagaimana sodara2 kita yg terkena, dari tahap awal sampe kesembuhannya.. itu lebih penting sebagai tindakan pencegahan kita semua.."
monic padang,"Belum sakit,  2 minggu makan apa, gak kerja gak bisa makan, giliran sudah sakit uang berapapun iklas keluar biaya untuk sembuh berapapun jumlah nya,  bahkan sampe pinjam sana sini"
Agung M,3 hari kedepan mungkin udh ribuan 😭😭
Edison Simangunsong,Yg menyalahkan pemerintah ke laut saja. Yg dukung pemerintah like.👍
Karina Anjelina,sakit flu batuk aja sya gak tahan sakitnya apalagi kalo corona.. suami sy bekerja di perhotelan.. semua karyawan harian sdh d rmhkan krna hotel trs merugi kalo corna ini tdk ada jga obat nya hotel akan tutup karyawan di rumahkan.. bagaimana kami hidup.. sy bsa tahan lapar bagaimana dgn anak sy ?? daripada beli masker yg harganya mahal lebih baik beli beras.. jika kami beli masker kami mati krna kelaparan jika kami beli beras kami mati krna corona..
Mas Riah,"Ya trmksh bpk ,sunggh"" sngt jlas appn yg telh bpk bicarakn ,semog brmnfaat dan segera  hilang  dan alloh mnyabut pnyakit vros  itu amiinn,,🤲"
Lily Salindry,Ya allah lindungilah semua ya allah semga semua baik baik semua nya aamiin semua dlm lindungilah warga indonesia aamiin
Gatot Sugito,"Indonesia rakyatnya memang kebal,kebal di omelin dan kebal nasehat🤣🤣"
Nurul Aini,Jgn prnh salahkan pemerintah..  Dia juga gamau ini trjdi
下田ルティニングシィ,amat'sgt'byk'cpt'kshkak'obatnya.48'byk'meninggal'kagak'kemana'mana'.😁😁😁😁😳🇮🇩🤔🤔🤔🇯🇵❤️❤️❤️
digi wars,"ya allah, ampuni kita semua, selamatkan saudara saudari kami di seluruh dunia, semoga dunia lebih baik dari sebelumnya"
Infinity Rich,"Nambah terus korban, katanya obatnya sudah ada, kacau kacau,,,,"
mohon moon,"Bntar hu, kalo misal nih kita merasakan ada gejala2... Kita harus ngapain????Ini kurang di publikasikan nih ama pemerintah"
Abdi Abdilah6,Maaf pa saya ga bisa jauh dari orang karna pekerjaan saya sbgai tukang cukur rambut pa..  mohon pencerahan nya...
Mr gede Ombo,"Hidup di indonsia, bangsaku.Makin sesak aja.Mata duitan?serakah?SDA lengkap tp masih miskin"
budak botak,aku di malaysia skrg udh parah...makan cuma 1 hari sekali....nasi sama kicap manis..parah
Noor syahrul,"Misalkan diLockdown pun Rakyatnya ngak mau didalam dirumah. Kan serba repot. Kalau kayak negara"" lain keluar rumah harus pake masker dan dengan tujuan yang pasti kalau sampai melangar denda dan penjara siap menanti. Tapi diIndonesia ngak mungkin dilakukan itu"
Dea Kartika,YaAllah indonesia banyak banget yang meninggal :(
Skye _97,DIEM DI RUMAH WOY DIEM
Bayu Aji Pamungkas,"Klu di indo datanya mulai dipublikasikan pelan2 walau bertambah terus tiap harinya, klu di Cina beritanya dah stabil, tp mana mungkin org pusatnya dr sana..yg membuat berita dr Cina pinter dgn mengatakan kondisi sudah stabil padahal tambah parah..dgn berkata ""stabil"" org yg mendengar jd tenang dan mulai lempar tanggung jawab nantinya klu kasus virus tambah parah dgn mengatakan virusnya dr luar Cina..semoga wabah ini segera berakhir..."
No Name,"Corona,,Islam itu bukan jabarian dan qadarian,,di mana jabarian mengatakan segala sesuatu itu datang nya dari Allah dan manusia itu hanya menerima apa aja tanpa boleh beriktihar atau berusaha,, padahal Islam mengajarkan bahwa segala sesuatu adalah dari Allah dan atas izinnya lah semua berlaku tapi kita di beri akal untuk beriktihar,,( berusaha ) karena Allah itu mau melihat kesungguhan kita dalam iktihar walaupun sesungguhnya Allah maha berkehendak kepada segala sesuatu mengalahkan kehendak makhluk ciptaan nya ,dan sedangkan qadarian ,, mengatakan bahwa manusia punya hak mengatur segala sesuatu tanpa campur tangan Allah,, padahal segala sesuatu Allah lah yang mengatur segalanya,,maka selain bertawakal kepada Allah AZZA WA jalla ,,kita di wajibkan juga untuk beriktihar,, berusaha dgn akal kita untuk menunjukkan kesungguhan kita kepada Allah AZZA wajalla dalam.segala urusan ,,like kalau suka ya"
Hasan samuda,"Lanjutkan pak jokowi... persilahkan siapa aj masuk keindo.... tuk buzer, jgn lupa terus Bully Anies Baswedan.  🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️"
Edi khudo,Menunggu keajaiban semoga cepat di temukan vaksin yg paling ampuh melawan virus bajingan ini😷😷
juni ardi,"kejadian ini seperti film contagion,virus sprt corona berasal dari cina,nyebar ke berbagai negara,gejalanya pun sama,....apakah ada org yg dngn sengaja ingin mewujudkan kejadian sprt di film itu krn dia ingin membuat kacau dunia 😅"
Hernan Sandi Laksono,"Kadang klo ada lockdown gini , suka kasihan sama org yg kerjanya serabutan(harian) klo ga keluar ga akan dpt uang. Misal aja tukang becak, penjual di pasar dllMana barang pokok pada naik lagi"
Kaki Wayang,Indonesia itu rakyatnya kebal.
Rahma Lestari,Udh sihhhh Lockdown ajaaaa.... Klo cm jaga jarak ngga bakalan bisaaaa....
Yuliardi Sandi,Jngan kan bpjs Duit aje kagak gablek gue Apalgi kalo sakit di musim virus gini ..Semoga selalu di sehatkan kita semue ..
Gmc Raya,waaduuuhhh nambah teruuss teruus dan teruusss.....😱😱😱😱😱 ya Allah tolonglah kami...
melody x,Penangananya kurang bgt.. Seharusnya kl yg di curigai langsung di tarik isolasi.. Penangan taiwan sangat ketat.. Kl di jurigai langsung di isolasi g memandang warganya...di amankan di rs.. Di cek g boleh ke mana2 menunggu tes nya positif atau negatif..
ricky aja,+62 rs kurang medisnya jg kurang berkualitas
Cungkaripit Gaming,Kenapa semakin tak terkendali virus di indonesia. Rasio kematian makin tinggi
Tanjung sakti,jokowi is the best
